,rest_names,rest_urls,rest_ratings,price for two,rest_crusine
127,S.S.M Cake World,https://www.zomato.com/visakhapatnam/s-s-m-cake-world-asilmetta-vizag/order,3.5,₹200 for one,"Bakery, Chinese, Sichuan"
128,Five Star & Koli Hut,https://www.zomato.com/visakhapatnam/five-star-koli-hut-1-siripuram-vizag/order,4.3,₹200 for one,"Fast Food, Burger, Rolls"
129,Lassi Shop,https://www.zomato.com/visakhapatnam/lassi-shop-asilmetta-vizag/order,4.3,₹150 for one,"Beverages, Juices, Ice Cream, Fast Food"
130,Angel's Dine,https://www.zomato.com/visakhapatnam/angels-dine-vishalaksmi-nagar-vizag/order,3.9,₹150 for one,"North Indian, Chinese, Biryani"
131,ibaco,https://www.zomato.com/visakhapatnam/ibaco-siripuram-vizag/order,4.3,₹150 for one,"Ice Cream, Desserts"
132,Visakha Bhunia Fast Food Restaurant,https://www.zomato.com/visakhapatnam/visakha-bhunia-fast-food-restaurant-maddilapalem-vizag/order,4.1,₹150 for one,"Biryani, Chinese, Fast Food"
133,The Thickshake Factory,https://www.zomato.com/visakhapatnam/the-thickshake-factory-kirlampudi-layout-vizag/order,4.4,₹150 for one,"Beverages, American"
134,Jaipur Restaurant,https://www.zomato.com/visakhapatnam/jaipur-restaurant-1-allipuram-vizag/order,3.2,₹150 for one,North Indian
135,Faasos - Wraps & Rolls,https://www.zomato.com/visakhapatnam/faasos-wraps-rolls-dwaraka-nagar-vizag/order,3.8,₹150 for one,"Rolls, Fast Food, Wraps, Desserts"
136,Maa Nethi Vindu,https://www.zomato.com/visakhapatnam/maa-nethi-vindu-siripuram-vizag/order,4.4,₹150 for one,"South Indian, Biryani, Chinese"
137,Cake Studio,https://www.zomato.com/visakhapatnam/cake-studio-dwaraka-nagar-vizag/order,4.2,₹150 for one,Bakery
138,Pastry Chef,https://www.zomato.com/visakhapatnam/pastry-chef-madhavadhara-vizag/order,4.5,₹150 for one,"Bakery, Desserts, Chinese, Pizza, Sandwich, Fast Food, Sichuan, Beverages"
139,Spicy Pizzeria,https://www.zomato.com/visakhapatnam/spicy-pizzeria-mvp-colony-vizag/order,3.8,₹150 for one,"Pizza, Fast Food"
140,Tycoon Multicuisine Restaurant,https://www.zomato.com/visakhapatnam/tycoon-multicuisine-restaurant-asilmetta-vizag/order,3.8,₹150 for one,"North Indian, Desserts, Chinese, Beverages, Sichuan"
141,Taste Well Frankies,https://www.zomato.com/visakhapatnam/taste-well-frankies-maharani-peta-vizag/order,3.8,₹200 for one,"Chinese, Fast Food, Rolls, Biryani, Shake, Sichuan"
142,New Dhaba Sher-E-Punjab Veg & Non Veg Restaurant,https://www.zomato.com/visakhapatnam/new-dhaba-sher-e-punjab-veg-non-veg-restaurant-balayya-sastri-layout-vizag/order,3.7,₹200 for one,"North Indian, Chinese, Biryani"
143,Dhaba City Punjab,https://www.zomato.com/visakhapatnam/dhaba-city-punjab-siripuram-vizag/order,3.9,₹200 for one,North Indian
144,Italiyo,https://www.zomato.com/visakhapatnam/italiyo-mvp-colony-vizag/order,3.5,₹200 for one,"Burger, Pizza, Pasta, Sandwich, Fast Food, Desserts"
145,Sri Siva Priya Mess,https://www.zomato.com/visakhapatnam/sri-siva-priya-mess-mvp-colony-vizag/order,4.3,₹200 for one,"South Indian, Chinese, North Indian"
146,Hedwig Kitchens,https://www.zomato.com/visakhapatnam/hedwig-kitchens-dwaraka-nagar-vizag/order,4.0,₹200 for one,"Chinese, Biryani, South Indian, Sandwich, Desserts, Shake"
147,Six Degrees,https://www.zomato.com/visakhapatnam/six-degrees-mvp-colony-vizag/order,3.9,₹200 for one,"South Indian, Chinese, Continental, Italian, North Indian"
148,New Mumbai Punjabi Dhabha,https://www.zomato.com/visakhapatnam/new-mumbai-punjabi-dhabha-allipuram-vizag/order,4.2,₹200 for one,North Indian
